title,sentence,score
A strange album,"This one is a bit strange. On one hand I think it is a beautiful and brilliant, passionate album. On the other hand I think that he lost a bit of his power. What I miss here are new songs after so many years without doing it solo, and the frue fire he used to have, it is also sad to notice that his voice, THE voice of rock, is not what it used to be.But, can't wait for the next album, as this time he put a realy good band together. Sadly missing only is Michael Lee.",1
Tales of King Arthur,"The books were received in a timely manner. I was expecting a different size book than the one I received. The one I thought I was ordering was also a paperback, but was not novel size. The book does have the exact same stories so I was able to use it in my classroom. It does not have the fabulous pictures that the other book had.",1
Great Tribute to the Boykin Spaniel,This is a great book to share with your children and adult friends who are boykin enthusiasts. It tells of the history of the boykin spaniel in South carolina. My family has always loved boykin spaniels and had them around their houses but none of us knew the exact story of how they came to be. The Story of Dumpy and Singo is definitely worth purchasing and reading. It also makes a great gift for family and friends. It is lighthearted and well written and gives a true depiction of why we Boykin lovers adore these dogs so much.,1
A Bit of a Disappointment,"I think Phil's ego filled up most of the pages. Good reading but I expected more. He was born to play hockey, no doubt. If you cut Phil Esposito he bleeds hockey.",0
Compare I know what I saw/ with Out of the blue ufo dvd's,"I recently purchased these two dvd's. It was a mistake, they both have similar video content, buying one is close to a duplicate of the other. they both have James Fox, film director/narrator.So, I guess I'm stuck with both don't make the same error.",0
Stevie and his band are incredible!,"I ordered this DVD with a bunch of other ""Funk"" related live shows and just recently got to this one this morning. It's probably the best out of the batch which shocked me. There's many reasons I give this 5 stars...Stevie sounds incredible, he has a tighter band than some jazz fusion groups out there right now, and the setlist choices were dynamite on this DVD. The show is over 2 hours long, and he plays a lot of his album ""Hotter Than July"" which I thought was awesome. You can see some stars in the audience dancing throughout the show, and they show an equal amount of screen time for all members of the band. Stevie's daughter Aisha joins him throughout the entire show on backup vocals. I Haven't caught the group in concert yet but I plan to after watching this. 5 STARS, a must have if you are a Stevie Wonder fan or a general R&B/Funk fanatic.",1
Silence of the North,"I was thrilled to find this movie I was looking for over a long period of time. I was a little disappointed it was VHS not DVD but hey, at least I got to see it again after all these years !!",1
"The cover and paper quality, and graph color are not good","The book's content is rich and meaningful. But the quality of the paper is very low. Especially the cover paper is not durable. When you open and close the book, the cover paper cracks and becomes as if it is hardly worn. The lines will be formed right at the corner where paper bends.And the cover paper is not hard, when you wear in the back-pak the corners of the pages including cover paper's will be bent easily. The book will look very old fastly.The graph has not different colors other than black and white. Only black color is used in the graphs. You know that in order to understand different variables in the graph, one should seperate those variables by colors, but publishers or whoever did not do this, which is very bad.That is itPS Maybe Mr. Tom Copeland did not want his book be printed in such low quality papers and black and white color graphs, but his works should be published in high quality papers including graphs.",0
Iron Man 2 Review,Not as good as the first Iron Man. Iron Man 2 was totally predictable from beginning to the end with just okay special effects. Robert Downey Jr. is the perfect choice for the playing Iron Man character. I should have rented the movie before I purchased it.,0
Cream - 'I Feel Free: Ultimate Cream' (Polydor),"A superb 23 track collection of Cream's repertoire. This HAS got to be one of the better compilations of their work available. Starts off with a cut that I barely remember,their very first UK single ""Wrapping Paper"" and carries on with most of those gems that you'll never get tired of hearing, like ""N. S. U."", ""I'm So Glad"",""Strange Brew"",""Sunshine For Your Love"",""Politician"" (one of my personal favorites),""Crossroads"" and ""Born Under A Bad Sign"". An absolute must-have.",1
Alarm is very faint,"If you want a countdown stopwatch that has an audible alarm you can actually hear, this one's not for you. Another annoying aspect is that the start/stop button is in a different position than their regular countUP stopwatch, so if you have both, you have have to re-training yourself to remember to press the right button on the right stopwatch to get it going.",0
You get what you pay for,"I've had two of this brand and one of another brand.Pros:- You can set the transmitter to any frequency. It covers all FM frequencies.- Price; it's pretty cheap.- Easy to use.- Fairly strong signal.- Decent sound quality.Cons:- After just a few days, some of the wiring started to have problems and caused static in the transmission. Any small movement of the player would cause it and sometimes it would become louder than the mp3 player. This occurred on both.- The metal parts that insert into the cigarette lighter started to break off after 3 months. This means it didn't stay in very well and would often power off if not at the correct angle.- It completely stopped working after about 18 months.So, the basic summary is that it's cheap and works ok, but it's fairly low quality and doesn't last very long. However, it lasted longer than a more expensive model I bought six months ago. Be prepared to hear a lot of static.",0
Bratz Head Games Review,"I love playing with my Yasmin {Bratz Head Games Doll}. I hate that myscene copied it!!!!!!!! Tell them to come up with their own ideas, and stop coping bratz!!!!!!!!!",0
poorly made,"we purchased this gate after reading many good reviews, however it is not made to hold up to every day use. it is easy to use once you learn how and convient to move for other locations. the plastic is not good quality, ours broke after 6 months in 2 places, the turning knob cracked at the screw and came right off, when i contacted the manufacturer they told me they could do nothing for me. we tried to still use it without the knob and then the plastic broke along the center peg on the plastic strip. we loved the concept of this gate, but really bummed we spent this kind of money on something with no duribility....bummed!",0
Great Book,"I needed this book for a science class. Interesting reading material. I learned a lot about the environment, and how we contribute to it.",1
good for the gal!,"We travel in state a lot for bike races. It is great to go to a hotel and not have to share a bed with our 2 and half year old. She loves it too. She thinks it's special and that makes bed time in a strange place a whole heck of a lot easier. We like how compact it is; much more packable than her old pac n'play. The removable washable cover is handy as well as comfortable. It does make a little more noise than we would like, but hey...can you really have it all. It is a nice firm travel bed and good for little guest at home as well. Stores and cleans easy. A good buy. And best of all, our daughter looks forward to using it!",1
Learned insights,"Yehudah Levi received his Ph.D. from the Polytechnic Institute of Brooklyn and rabbinic ordination from Rabbis Y.Hutner and J.Breuer. He has been president in both Israel and America of the Orthodox Jewish Scientists. He has published many articles and books on scientific subjects, and in Israel set up the Physics/ Electro Optics Department at the Jerusalem College of Technology. In this work he looks into the scientific world of the sages from the perspective of one who has a real grasp both of Torah and of modern scientific learning. This work should be of great value for all truth- seekers who care very much about the relation of Torah and Science.",1
terrible dispenser,"It works. It's okay. I will probably buy a different silicone lube next time (pjur), if only for the bottle. I think it's a little thinner and not quite as nice as the other brand of silicone I've used, but honestly just opening this badly designed bottle is a buzzkill and I haven't closely compared the contents of the bottle.This 8.9oz bottle is awkward and messy to use. The stuff dribbles out, inevitably smearing the bottle, and it's difficult to control the amount. Oops, too little. Oops, too much. Messy and bleh. Once that hassle is over, it works fine.",0
Fresh??,Urrghhh!! There is nothing fresh about this scent. Why did my curiosity have to get the best of me? I should have stuck with Baby Powder scent. I just hope their Baby Powder version is pleasant to the olfactory system since this one is an assault to it!,0
It Works!,"I Got Harvest Moon About A Month Ago (It Came Quick By The Way) And I Was All Excited, I Put It In And Guess What?! ""Your Memory Card Is Full"" So I Ordered This Memory Card, It Also Came Thru The Mail Fast, And Thank Goodness! My Game Plays Now! So Yes This Memory Card Works Good I Guess. However, I Went To Play Mario Kart The Next Day, The Same Game I Have Had For Years, And It Said ""Memory Card Is Corrupted"" So All of My Unlocked Stuff Was Lost! But That Might Be The Other Memory Card Its Talking About Or Something I Dont Know What Happend Because My Other Game Harvest Moon And One Of My Other Games Works Fine! But I Haven't Played Any Other Of My Games Yet So They Might Be Messed Up Too. I Dont Know. But Anyway This MC Is Fine As Far As I Can Tell.",1
You get what you pay for -- especially true with binoculars.,"ON the positive: these are great as compacts that fit inside your car's glove box or in your pocket. On the downside: the optical quality and stability is poor. But then, for the price, you get what you pay for, especially with binoculars.A note if you do buy them. One of my rubber end-caps fell off somewhere in the woods. These rubber end-caps are just slip-ons, so you will need to put a drop of rubber cement on them to be secure.Overall: For the price and easy of storing they are great: 5 stars, but, for the optical performance - 1.5 stars. There are better binoculars for a little more mula. Conditionally Recommended",1
Excellent resource.,"This book is an excellent resource. It lists calories and carb counts for everything from raw foods to fast foods. My son w/ diabetes counts on it. We bought several copies (some older issues just for backup): 1 for each car, 1 for the kitchen, 1 for him to carry with him.",1
Wicked.....,"Ms. Hobbs is an excellent author that has a very unique style of writing. She captures her readers in tales that go above and beyond the average mind and enters into the devious and yet oh so wicked minds of her characters.""Dangerously In Love"" was a great novel and for some reason her character Reed made me think of some type of sci-fi storyline. She gives African Americans a touch of Stephen King in the urban world!!Great job Ms. Hobbs!!!",1
"Much like Ann Beattie's first Novel, Chilly Scenes of Winter","The best novel about agonizing over a relationship since Ann Beattie's first novel, Chilly Scenes of Winter. So Much of High Fidelity reminded me of that novel. In fact that girl's name was also Laura. This certainly is a great first effort! One of the best since Beattie's",1
For the completists only,"This book and ""Play Hide and Seek"" have the best artwork of the Teletubbies (real art, not screen grabs from TV like so many other books).That's all it's got going for it. At only 12 pages (not 24 as stated above) and less than 50 words total, it's just inadequate for any but the tiniest tots just getting interested in books, and for those I'd recommend the smaller (cheaper) board books.",0
"Good, but different characters than what's pictured","I thought I was getting what was on the screen but got the rainforest animals instead, which was fine because it is cute, better than what is on view now. My daughter likes seeing herself in the mirror and likes to see the animals light up (when it's dark outside).",1
A good book !,"This chicken soup for the teenage soul book wsa a good book, but personally I liked the first one better. All though this one had just has many good stories, for some reason all the stories from the first one seemed to be more touching. Don't get me wrong this is still a good book to read if you are looking for a inspiring story or just a book to read.",1
Very good read,"First of all I'm very pleased whenever I download a free book and I actually end up liking it and this was the case with Hostile Witness. From the beginning when we are first introduced to Linda, the college roommate desperate for help when her 17 year old daughter is accused of murdering her father-in-law, who is also a high profile Judge, to when we meet Josie the attorney who agress to help get Linda's daughter Hannah out of jail. I was drawn to the storyline because I kept going back and forth as to who was the murderer and I like when a book keeps me guessing. There were also some very good courtroom scenes, but I especially liked how Hannah's OCD would come out when she was in court because you didn't know how she was going to be perceived by the jury. There were some parts of the storyline that I felt could have used some additonal development but all in all I would recommend this book. I mean really what have you got to lose but what you spent which is nothing :)",1
Good Transfer,This movie has never looked this good on any kind of video.A must buy for fans of this movie.,1
Pleasantly Surprised,"After reading the first few chapters of this book I wondered if I would make it to the end. Luckily, somewhere in Arkansas that all changed. This book really gives the reader a behind the scenes account of the pressures and influence a dignitary has, and how a modern woman faces challenges beyond most of society's comprehension. It's exciting to read engaging details of her small blunders and personal triumphs in the public eye as a ""First Lady in training"". I recommend this book to any woman in your life as a source of inspiration.",1
Lively and evocative history,"I had the opportunity of attending a lecture and slide show the author of this book gave on Shanghai recently at the Elmhurst library in Queens. It was an absolutely riveting talk. For an entire hour, Stella Dong transported us into another world. We were shown slides of Shanghai from its beginnings as a treaty port until the Communists entered in 1949. But it was more than history that we absorbed--we had a sense of the time and place. As a result of the talk, I bought the book,read it and can vouch for ""Shanghai's"" living up to the city it's eponymous subject. One big disappointment, though, is that the paperback doesn't have photos in it. All the same, Stella Dong conjures up the spirit of Shanghai in its glory days with such vivacity that the photos would only be an appetizer.",1
Not Much Humor Here.,"I bought a double-sided copy of this book, along with the next in the series, The Pirates! In an Adventure with Ahab (Whaling). I read both, hoping the second would be better than this one, but was disappointed. There is almost no action, funny awkward situations or even inappropriate material that could bring a laugh. The characters in the story, especially the Captain, are mostly incompetent and dishonest, not very funny characteristics. Try Bored of the Rings or a George Carlin book, heck, even Dave Barry is funnier than these time-wasters.",0
Best Gluten-Free Breadsticks Available,"I have a daughter with Celiac Disease who really misses authentic tasting bread items. She absolutely loves these, and I have to keep the rest of the family from eating them!!!",1
I have really entered the dru.,"Since the day my girlfriend introduced this group to me, my heart has never been the same. It has ""given me one more reason"" to love her the more. Sisquo is really talented. Woody has real soul. Nokio is the man and Jazz be fine. I can hardly wait for a new release from these guys. Let's hear it for dru hill. Drufans show them more love. Psst whatever happened to their official website?",1
hey hey hey,"This book is a good book. When you start to read this book you have to be patient. The book has two parts in it. The first part is very boring, there is absolutely no action. Once you read into the saecond part of the book, it gets much more exciting.The Tom Robinson trial starts and many other things happen as well. I would recommend this book to patient readers, who like books to get better at the end. If you need action on every page, don't pick up this book, or start at the second part. I gave this book three stars because the begining was so boring. This is my review of To Kill A Mockingbird.",1
Interersting,"This is a translation and it's not really a great read, but it's an interseting story nonetheless. You can through it pretty quickly, though.",0
nothing but,"On my second pair. They are the best! I used to be a nothing but b_____k guy but since getting my Naot clogs ...well there's little,if any, comparison. I wear a shoe type Naot to work and then slip right into the Glacier. I spend most of the day standing and walking (third grade teacher) You won't be sorry!",1
less lyrics more guitar,why does robin refuse to play guitar like he did in the 70's - i'm a fan and have or have heard all his albums - i read the reviews at amazon and thought that he finally returned to his past glory - but again i was let down - no matter how many times or how loud i play this disc - it is not good - sorry robin - less lyrics - more guitar.,0
Works Fine But Expensive for What It Is,"The Oenophilia Alexander wine rack works fine, but is rather expensive for what it is. The rack is very simple and looks like it should cost no more than $15 if it were for a purpose other than holding wine. It is very flimsy if not attached to the wall, so it must be secured as it is designed to do in order to hold bottles safely. But once secured it is nice and compact and can hold a lot of wine. I would give it 5-stars if it were only priced appropriately.",1
Sandman,"This is a well written, well organized, wonderful book from a very giftedauthor. Great for someone just getting into wood turning and has pearls for the experienced turner. Highly recommended !!",1
Good back in the day but...,"This album does not stand the test of time. You've heard the beat a million times, and although it's not their fault that gregorian chants have become overdone, that fact alone dooms the album. The sounds lack inspiration and the music sounds rather amateurish. What this album truly lacks is a sense of atmosphere - there's so much empty space in it that you feel like you're in the room with a drum machine and a tape deck.I have to admit that I loved this when it came out but there are much, much better options for downtempo listening these days (Thievery Corporation, Kruder & Dorfmeister, a lot of the new bossa nova-influenced tracks, Massive Attack). This album is the musical equivalent of Zubaz pants (OK that's unduly harsh but what's the 90s equivalent of a Members Only jacket?)",0
"DIDN'T WORK ON MY '00 CHEVY SILVERADO, RETURNED IT.","FIRST OF ALL, I WAS VERY DISAPPOINTED THAT AN OTC PRODUCT WOULD BE MADE IN CHINA. AS FAR AS PERFORMANCE GOES, THE HEX HEAD ON THE FORCING SCREW ROUNDING OFF WHILE TURNING BY HAND WITH A WRENCH. I MANAGED TO PRESS ONE UPPER BALL JOINT OUT, BUT COULD NOT PRESS IN THE NEW ONE. AT THIS POINT I THREW IN THE TOWEL. MY ARMS WERE SORE AND IT WAS COLD OUTSIDE. I RETURNED THE BALL JOINTS AND WENT OVER TO MY LOCAL CARQUEST AUTO PARTS AND BOUGHT THE COMPLETE UPPER WISHBONE PRE-LOADED WITH THE BALL JOINT FOR UNDER $100.00 EACH. THE BUSHINGS ON THE OLD UPPER CONTROL ARMS WERE SHOT, SO THIS KILLED TWO BIRDS WITH ONE STONE, SO TO SPEAK. SHOULD HAVE GONE THIS ROUTE IN THE FIRST PLACE, SOOO MUCH EASIER THAN BUSTING YOUR KNUCKLES WITH A PRESS.I HOPE THIS HELPS ANYONE FACING A PRESS-FIT UPPER BALL JOINT JOB.",0
